File,Date,collector,Block,ID,Stem Length,Stem Count,Damage
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,147,15.5,8,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,148,11.5,7,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,149,26.5,6,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,150,18.5,4,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,151,8.5,8,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,152,17.5,7,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,153,23,3,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,154,30.5,9,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,155,16,2,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,156,13,15,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,157,10,4,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,158,26.5,4,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,159,21,3,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,160,13,3,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,161,5.5,11,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,162,10,7,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,163,14,9,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,164,18.5,5,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,165,12.5,5,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,166,19,11,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,167,9,13,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,168,14.5,9,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,169,23,10,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,170,11,10,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,171,11.5,7,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,172,11,7,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,173,17,13,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,174,12.5,30,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,175,22.5,10,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,176,29,7,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,177,17.5,4,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,178,19,7,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,179,13,7,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,180,13.5,7,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,181,NA,NA,NA
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,182,21,5,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,183,16.5,11,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,184,23,3,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,185,12,8,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,186,23,4,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,187,6.5,12,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,188,26.5,7,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,189,16,4,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,190,12,3,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,191,21.5,7,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,192,15,9,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,193,16,3,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,194,19,10,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,195,18.5,8,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,196,15.5,1,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,197,16,8,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,198,20.5,9,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,199,22.5,7,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E4,200,30,13,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,1,9,15,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,2,21,5,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,3,11,9,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,4,13,12,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,5,13.5,10,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,6,12.5,6,1
